	Representative	Member	ClusterSize	PhageID	ProteinID	Status	Function
0	MZ501063.1_prot_QXV78146.1_17_unknown_None	MZ501063.1_prot_QXV78146.1_17_unknown_None	1	MZ501063.1	QXV78146.117	unknown	None
1	MZ501063.1_prot_QXV78158.1_29_unknown_DUF2612_domain-containing_protein	MZ501063.1_prot_QXV78158.1_29_unknown_DUF2612_domain-containing_protein	1	MZ501063.1	QXV78158.129	unknown	DUF2612_domain-containing_protein
4	MZ501063.1_prot_QXV78194.1_65_unknown_Os05g0121200_protein	MZ501063.1_prot_QXV78194.1_65_unknown_Os05g0121200_protein	1	MZ501063.1	QXV78194.165	unknown	Os05g0121200_protein
7	MZ501063.1_prot_QXV78213.1_84_unknown_DUF4326_domain-containing_protein	MZ501063.1_prot_QXV78213.1_84_unknown_DUF4326_domain-containing_protein	1	MZ501063.1	QXV78213.184	unknown	DUF4326_domain-containing_protein
8	MZ501063.1_prot_QXV78220.1_91_unknown_CD200_receptor_1-like	MZ501063.1_prot_QXV78220.1_91_unknown_CD200_receptor_1-like	1	MZ501063.1	QXV78220.191	unknown	CD200_receptor_1-like
9	MZ501063.1_prot_QXV78221.1_92_unknown_Os03g0170200_protein	MZ501063.1_prot_QXV78221.1_92_unknown_Os03g0170200_protein	1	MZ501063.1	QXV78221.192	unknown	Os03g0170200_protein
10	MZ501063.1_prot_QXV78223.1_94_unknown_None	MZ501063.1_prot_QXV78223.1_94_unknown_None	1	MZ501063.1	QXV78223.194	unknown	None
13	MZ501063.1_prot_QXV78230.1_101_unknown_Mediator_of_RNA_polymerase_II_transcription_subunit_17	MZ501063.1_prot_QXV78230.1_101_unknown_Mediator_of_RNA_polymerase_II_transcription_subunit_17	1	MZ501063.1	QXV78230.1101	unknown	Mediator_of_RNA_polymerase_II_transcription_subunit_17
14	MZ501063.1_prot_QXV78233.1_104_unknown_Tubulin-specific_chaperone_A	MZ501063.1_prot_QXV78233.1_104_unknown_Tubulin-specific_chaperone_A	1	MZ501063.1	QXV78233.1104	unknown	Tubulin-specific_chaperone_A
15	MZ501063.1_prot_QXV78246.1_117_unknown_Uncharacterized_protein	MZ501063.1_prot_QXV78246.1_117_unknown_Uncharacterized_protein	1	MZ501063.1	QXV78246.1117	unknown	Uncharacterized_protein
16	MZ501063.1_prot_QXV78250.1_121_unknown_Cysteine-rich_transmembrane_domain-containing_protein	MZ501063.1_prot_QXV78250.1_121_unknown_Cysteine-rich_transmembrane_domain-containing_protein	1	MZ501063.1	QXV78250.1121	unknown	Cysteine-rich_transmembrane_domain-containing_protein
17	MZ501063.1_prot_QXV78262.1_133_unknown_Periplasmic_protein	MZ501063.1_prot_QXV78262.1_133_unknown_Periplasmic_protein	1	MZ501063.1	QXV78262.1133	unknown	Periplasmic_protein
25	MZ501063.1_prot_QXV78276.1_147_unknown_SH3_domain-containing_protein	MZ501063.1_prot_QXV78276.1_147_unknown_SH3_domain-containing_protein	1	MZ501063.1	QXV78276.1147	unknown	SH3_domain-containing_protein
26	MZ501063.1_prot_QXV78282.1_153_unknown_tRNA_endonuclease_vms1	MZ501063.1_prot_QXV78282.1_153_unknown_tRNA_endonuclease_vms1	1	MZ501063.1	QXV78282.1153	unknown	tRNA_endonuclease_vms1
27	MZ501063.1_prot_QXV78283.1_154_unknown_Peptidase_S64	MZ501063.1_prot_QXV78283.1_154_unknown_Peptidase_S64	1	MZ501063.1	QXV78283.1154	unknown	Peptidase_S64
28	MZ501063.1_prot_QXV78291.1_162_unknown_CS_domain-containing_protein	MZ501063.1_prot_QXV78291.1_162_unknown_CS_domain-containing_protein	1	MZ501063.1	QXV78291.1162	unknown	CS_domain-containing_protein
29	MZ501063.1_prot_QXV78306.1_177_unknown_Transmembrane_protein	MZ501063.1_prot_QXV78306.1_177_unknown_Transmembrane_protein	1	MZ501063.1	QXV78306.1177	unknown	Transmembrane_protein
30	MZ501063.1_prot_QXV78314.1_185_unknown_Acyltransferase_3_domain-containing_protein	MZ501063.1_prot_QXV78314.1_185_unknown_Acyltransferase_3_domain-containing_protein	1	MZ501063.1	QXV78314.1185	unknown	Acyltransferase_3_domain-containing_protein
34	MZ501063.1_prot_QXV78330.1_201_unknown_1,2-phenylacetyl-CoA_epoxidase,_subunit_B	MZ501063.1_prot_QXV78330.1_201_unknown_1,2-phenylacetyl-CoA_epoxidase,_subunit_B	1	MZ501063.1	QXV78330.1201	unknown	1,2-phenylacetyl-CoA_epoxidase,_subunit_B
35	MZ501063.1_prot_QXV78338.1_209_unknown_SnoRNA-binding_rRNA-processing_protein	MZ501063.1_prot_QXV78338.1_209_unknown_SnoRNA-binding_rRNA-processing_protein	1	MZ501063.1	QXV78338.1209	unknown	SnoRNA-binding_rRNA-processing_protein
38	MZ501063.1_prot_QXV78346.1_217_unknown_Prophage_antitermination_protein_Q_homolog_QuuQ	MZ501063.1_prot_QXV78346.1_217_unknown_Prophage_antitermination_protein_Q_homolog_QuuQ	1	MZ501063.1	QXV78346.1217	unknown	Prophage_antitermination_protein_Q_homolog_QuuQ
39	MZ501063.1_prot_QXV78347.1_218_unknown_Uncharacterized_protein	MZ501063.1_prot_QXV78347.1_218_unknown_Uncharacterized_protein	1	MZ501063.1	QXV78347.1218	unknown	Uncharacterized_protein
